variables = "X","Y","Z","HL","rh","u","v","w","p","T", "vor_x","vor_y","vor_z","Vor","Q_cri","Mach"
 zone i=          81  j=          81
-0.408833D+00  0.000000D+00  0.100000D+01 1 0.115841D+01  0.159515D+03  0.000000D+00  0.000000D+00  0.715988D+00  0.618077D+00  0.000000D+00  0.000000D+00  0.108241D-02  0.108241D-02 -0.405378D-09  0.203044D+01
-0.388622D+00  0.000000D+00  0.100000D+01 1 0.115884D+01  0.159500D+03  0.000000D+00  0.000000D+00  0.716359D+00  0.618168D+00  0.000000D+00  0.000000D+00  0.777306D-03  0.777306D-03 -0.229484D-09  0.203011D+01
-0.369085D+00  0.000000D+00  0.100000D+01 1 0.115916D+01  0.159490D+03  0.000000D+00  0.000000D+00  0.716634D+00  0.618236D+00  0.000000D+00  0.000000D+00  0.540005D-03  0.540005D-03 -0.123294D-09  0.202986D+01
-0.350217D+00  0.000000D+00  0.100000D+01 1 0.115940D+01  0.159482D+03  0.000000D+00  0.000000D+00  0.716843D+00  0.618287D+00  0.000000D+00  0.000000D+00  0.413178D-03  0.413178D-03 -0.762804D-10  0.202968D+01
-0.332011D+00  0.000000D+00  0.100000D+01 1 0.115958D+01  0.159476D+03  0.000000D+00  0.000000D+00  0.717001D+00  0.618326D+00  0.000000D+00  0.000000D+00  0.275698D-03  0.275698D-03 -0.390092D-10  0.202953D+01
-0.314458D+00  0.000000D+00  0.100000D+01 1 0.115973D+01  0.159471D+03  0.000000D+00  0.000000D+00  0.717128D+00  0.618357D+00  0.000000D+00  0.000000D+00  0.250864D-03  0.250864D-03 -0.267910D-10  0.202942D+01
-0.297547D+00  0.000000D+00  0.100000D+01 1 0.115987D+01  0.159466D+03  0.000000D+00  0.000000D+00  0.717251D+00  0.618388D+00  0.000000D+00  0.000000D+00  0.236290D-03  0.236290D-03 -0.215289D-10  0.202931D+01
-0.281268D+00  0.000000D+00  0.100000D+01 1 0.116002D+01  0.159461D+03  0.000000D+00  0.000000D+00  0.717377D+00  0.618418D+00  0.000000D+00  0.000000D+00  0.235733D-03  0.235733D-03 -0.189241D-10  0.202920D+01
-0.265610D+00  0.000000D+00  0.100000D+01 1 0.116017D+01  0.159456D+03  0.000000D+00  0.000000D+00  0.717510D+00  0.618451D+00  0.000000D+00  0.000000D+00  0.240096D-03  0.240096D-03 -0.185163D-10  0.202908D+01
-0.250558D+00  0.000000D+00  0.100000D+01 1 0.116034D+01  0.159451D+03  0.000000D+00  0.000000D+00  0.717652D+00  0.618486D+00  0.000000D+00  0.000000D+00  0.239777D-03  0.239777D-03 -0.192441D-10  0.202895D+01
-0.236099D+00  0.000000D+00  0.100000D+01 1 0.116051D+01  0.159445D+03  0.000000D+00  0.000000D+00  0.717801D+00  0.618523D+00  0.000000D+00  0.000000D+00  0.238005D-03  0.238005D-03 -0.194758D-10  0.202882D+01
