variables = "X","Y","Z","HL","rh","u","v","w","p","T","vor_x","vor_y","vor_z","Vor","Q_x","Q_y","Q_z","Q_cri"
 zone i=         101  j=          81
 0.276441D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114885D+01  0.912107D-01  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.293790D+01  0.293790D+01  0.000000D+00  0.000000D+00  0.280353D-01  0.280353D-01
 0.263178D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114806D+01  0.884875D-01  0.000000D+00  0.100001D+01  0.100000D+01  0.000000D+00  0.000000D+00  0.356401D+01  0.356401D+01  0.000000D+00  0.000000D+00  0.388888D-01  0.388888D-01
 0.250904D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114620D+01  0.856094D-01  0.000000D+00  0.100001D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.450998D+01  0.450998D+01  0.000000D+00  0.000000D+00  0.562005D-01  0.562005D-01
 0.239547D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.114282D+01  0.825746D-01  0.000000D+00  0.100001D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.567722D+01  0.567722D+01  0.000000D+00  0.000000D+00  0.805357D-01  0.805357D-01
 0.229038D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.113751D+01  0.793802D-01  0.000000D+00  0.100001D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.695234D+01  0.695234D+01  0.000000D+00  0.000000D+00  0.112199D+00  0.112199D+00
 0.219313D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.112992D+01  0.760168D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.816786D+01  0.816786D+01  0.000000D+00  0.000000D+00  0.150090D+00  0.150090D+00
 0.210314D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.111988D+01  0.724702D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.910919D+01  0.910919D+01  0.000000D+00  0.000000D+00  0.190889D+00  0.190889D+00
 0.201987D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.110741D+01  0.687346D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.954684D+01  0.954684D+01  0.000000D+00  0.000000D+00  0.227198D+00  0.227198D+00
 0.194281D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.109277D+01  0.648531D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.928030D+01  0.928030D+01  0.000000D+00  0.000000D+00  0.245043D+00  0.245043D+00
 0.187151D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.107638D+01  0.608619D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.818564D+01  0.818564D+01  0.000000D+00  0.000000D+00  0.240004D+00  0.240004D+00
 0.180553D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.105876D+01  0.567640D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.622598D+01  0.622598D+01  0.000000D+00  0.000000D+00  0.201424D+00  0.201424D+00
 0.174447D+01  0.000000D+00  0.000000D+00 1 0.100001D+01  0.104064D+01  0.525805D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.386300D+01  0.386300D+01  0.000000D+00  0.000000D+00  0.136290D+00  0.136290D+00
 0.168797D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.102271D+01  0.483323D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.200108D+01  0.200108D+01  0.000000D+00  0.000000D+00  0.756909D-01  0.756909D-01
 0.163569D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.100513D+01  0.440450D-01  0.000000D+00  0.100002D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.899527D+00  0.899527D+00  0.000000D+00  0.000000D+00  0.348084D-01  0.348084D-01
 0.158731D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.987677D+00  0.397458D-01  0.000000D+00  0.100003D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.249387D+00  0.249387D+00  0.000000D+00  0.000000D+00  0.725532D-02  0.725532D-02
 0.154255D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.970137D+00  0.354514D-01  0.000000D+00  0.100003D+01  0.100001D+01  0.000000D+00  0.000000D+00 -0.352544D-01  0.352544D-01  0.000000D+00  0.000000D+00 -0.672215D-02 -0.672215D-02
 0.150112D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.952276D+00  0.311998D-01  0.000000D+00  0.100003D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.170515D+00  0.170515D+00  0.000000D+00  0.000000D+00  0.342231D-02  0.342231D-02
 0.146279D+01  0.000000D+00  0.000000D+00 1 0.100002D+01  0.933827D+00  0.270724D-01  0.000000D+00  0.100003D+01  0.100001D+01  0.000000D+00  0.000000D+00  0.998631D+00  0.998631D+00  0.000000D+00  0.000000D+00  0.487351D-01  0.487351D-01
